word,example
"duzen, duzt, duzte, hat geduzt","Wollen wir Du zueinander sagen? Ja, wir können uns gern duzen?"
eben,1. Ich bin eben erst angekommen. 2. Ich gebe auf. Ich habe eben kein Glück!
ebenfalls,"Ich wünsche Ihnen ein schönes Wochenende. – Danke, ebenfalls."
ebenso,"Schöne Feiertage. – Danke, ebenso."
die e-card (A) → D: die Versichertenkarte,Haben Sie Ihre e-card dabei?
echt,1. Ich träume von einem echten Perserteppich. 2. Der Film war echt gut.
"die EC-Karte, -n → A: Bankomat-Karte",Bezahlen Sie bar? Sie können auch mit der EC-Karte zahlen.
"die Ecke, -n (D, CH) → A: Eck",1. Das Regal stellen wir hier in die Ecke. 2. Das bekommen Sie im Kiosk an der Ecke. 3. Wo ist die Apotheke? − Gleich um die Ecke.
"das Eck, -en (A) → D, CH: Ecke",1. Das Regal stellen wir hier ins Eck. 2. Das bekommen Sie im Kiosk am Eck. 3. Wo ist die Apotheke? − Gleich ums Eck.
eckig,"Ich möchte einen eckigen Tisch, keinen runden."
egal,"1. Es ist mir ganz egal, was die Leute denken. 2. Egal, wie das Wetter ist, ich gehe schwimmen."
"die Ehe, -n",Sie hat zwei Kinder aus erster Ehe.
"die Ehefrau, -en/der","Wie heißt Ihre Ehefrau mit Vornamen? Ehemann, ¨-er"
"das Ehepaar, -e",Das Ehepaar unter uns hat zwei Kinder.
eher,"1. Ich stehe meist eher auf als mein Mann. 2. Michael sieht gerne Serien, ich mag eher Krimis."
ehrlich,1. Sie ist ein ehrlicher Mensch. 2. Bitte sei in dieser Sache ehrlich. 3. Die Pause haben wir uns ehrlich verdient.
"das Ei, -er",Möchtest du zum Frühstück ein Ei?
eigen-,1. Fast jedes Kind hat ein eigenes Zimmer. 2. Manche Leute haben keine eigene Meinung.
eigentlich,"1. Wir wollten eigentlich Freunde besuchen, aber dann sind wir doch zu Hause geblieben. 2. Die Sängerin nennt sich Arabella. Aber eigentlich heißt sie Uschi Müller. 3. Was willst du eigentlich von mir?"
"sich eignen, eignet sich, eignete sich, hat sich geeignet",Dieses Hotel eignet sich besonders für Familien mit Kindern.
"eilen, eilt, eilte, hat/ist geeilt",Es eilt sehr. Bitte machen Sie schnell.
die Eile,1. Ich bin sehr in Eile 2. Das hat keine Eile.
eilig,Hast du es eilig?
ein-,1. Ich nehme ein Bier. Willst du auch eins? 2. Wir haben zu wenig Mitspieler. Wir brauchen noch einen.
"die Einbahnstraße, -n",Die Goethestraße ist jetzt eine Einbahnstraße.
"einbrechen, bricht ein, brach ein, ist eingebrochen",Jemand ist in unsere Wohnung eingebrochen.
"der Einbrecher, -","Die Einbrecher haben nichts gestohlen. die Einbrecherin, -nen"
"der Einbruch, ¨-e",In der Urlaubszeit gibt es viele Wohnungseinbrüche.
eindeutig,1. Das Ergebnis ist eindeutig. Du hast gewonnen. 2. Du kannst eindeutig besser kochen als ich.
"der Eindruck, ¨-e","1. Ich finde die Leute auf der Straße ziemlich unfreundlich. Wie ist dein Eindruck? 2. Ich glaube, ich habe bei dem Vorstellungsgespräch einen guten Eindruck gemacht."
einerseits,"Einerseits möchte ich die Reise gern machen, andererseits ist sie zu teuer."
einfach,"1. Hin und zurück? – Nein, bitte nur einfach. 2. Ich verstehe das nicht. Kannst du das bitte einfacher sagen? 3. Wir haben am Wochenende einen Ausflug gemacht. Es war einfach toll."
"die Einfahrt, -en",1. Da parkt wieder jemand vor unserer Einfahrt. 2. Können Sie nicht lesen: Einfahrt freihalten!
"einfallen, fällt ein, fiel ein, ist eingefallen","Mir ist wieder eingefallen, wie das Buch heißt."
"der Einfall, ¨-e",Frag einfach meine Freundin. Sie hat immer gute Einfälle.
"der Einfluss, ¨-e",Das Wetter hat Einfluss auf die Gesundheit der Menschen.
"beeinflussen, beeinflusst, beeinflusste, hat beeinflusst",Dieses Ereignis hat die Wahlen
"einfügen, fügt ein, fügte ein, hat eingefügt","Markieren Sie zuerst die Zeilen, dann „kopieren“ drücken und dann einfügen."
"einführen, führt ein, führte ein, hat eingeführt",1. Dürfen wir diese Ware ins Land einführen? 2. Wir haben letztes Jahr ein neues System eingeführt.
"die Einführung, -en",Leider habe ich die Einführung des Kurses verpasst.
"der Eingang, ¨-e",1. Das Gebäude hat zwei Eingänge. 2. Der Eingang ist um die Ecke.
einheitlich,Die Schüler dieser Schule tragen einheitliche Kleidung.
einig-,"1. In diesem Bericht sind einige Fehler. 2. Das wird noch einige Zeit dauern. 3. Einige Leute sind für das Gesetz, aber viele sind auch dagegen."
"sich einigen, einigt sich, einigte sich, hat sich geeinigt",Jeder hat einen anderen Vorschlag. Wir können uns leider nicht einigen.
"einkaufen, kauft ein, kaufte ein, hat eingekauft",Wir gehen einmal pro Woche einkaufen.
"der Einkauf, ¨-e",1. Achten Sie beim Einkauf auf Sonderangebote. 2. Ich habe alle Einkäufe erledigt. Jetzt können wir einen Kaffee trinken.
"das Einkommen, -",Bei einem höheren Einkommen muss man mehr Steuern zahlen.
"einladen, lädt ein, lud ein, hat eingeladen",Darf ich Sie zum Essen einladen?
"die Einladung, -en",Danke für die Einladung.
einmal,1. Ich habe diese Oper leider nur einmal gesehen. 2. Bitte rufen Sie morgen noch einmal an. 3. Auf einmal ging das Licht aus. 4. Ich kann nicht alles auf einmal machen. 5. Sehen wir uns (ein)mal wieder? 6. Vor Jahren habe ich (ein)mal in Wien gewohnt. 7. Komm doch bitte (ein)mal her und hilf mir.
"einnehmen, nimmt ein, nahm ein, hat eingenommen",Wie muss ich die Tropfen einnehmen?
"die Einnahme, -n",Unser Geschäft läuft gut. Unsere Einnahmen waren in diesem Monat höher als im letzten.
"einpacken, packt ein, packte ein, hat eingepackt",1. Hast du Handtücher eingepackt? 2. Soll ich Ihnen das als Geschenk einpacken?
"einrichten, richtet ein, richtete ein, hat eingerichtet","1. Ich habe meine Wohnung selbst eingerichtet. 2. Wenn Sie Fragen haben, rufen Sie uns an. Wir haben eine extra Telefon-nummer eingerichtet."
"die Einrichtung, -en","Deine Wohnung ist sehr gemütlich, die Einrichtung gefällt mir sehr gut."
einsam,Ohne meine Familie fühle ich mich ein bisschen einsam.
"einschalten, schaltet ein, schaltete ein, hat eingeschaltet",Können Sie bitte die Heizung einschalten?
einschließlich,Alles zusammen kostet 200 Euro einschließlich Fahrtkosten.
"das Einschreiben, -",Ich habe den Brief als Einschreiben geschickt.
"einsetzen, setzt ein, setzte ein, hat eingesetzt","1. Ich glaube, wir müssen jemanden einsetzen, der sich um die Organisation kümmert. 2. Peter hat sich dafür eingesetzt, dass ich den Job bekomme."
"einsteigen, steigt ein, stieg ein, ist eingestiegen",1. Ab 20 Uhr vorne beim Fahrer einsteigen. 2. Steig ein. Wir wollen losfahren.
"einstellen, stellt ein, stellte ein, hat eingestellt",1. Die Firma wird in diesem Jahr drei neue Leute einstellen. 2. Das Gerät ist nicht richtig eingestellt.
"eintragen, trägt ein, trug ein, hat eingetragen",Tragen Sie sich bitte in die Liste ein.
"eintreten, tritt ein, trat ein, ist eingetreten",Letztes Jahr bin ich in einen Sportverein eingetreten.
"der Eintritt, -e",1. Kinder über 10 Jahre zahlen den vollen Eintritt. 2. Der Eintritt ist frei.
einverstanden,"1. Als Termin schlage ich den 3. Mai vor. – Gut, einverstanden! 2. Bist du einverstanden, wenn wir bald nach Hause gehen?"
"der Einwohner, die Einwohnerin, -nen",Berlin hat über drei Millionen Einwohner.
"einzahlen, zahlt ein, zahlte ein, hat eingezahlt",Ich habe gestern Geld auf mein Bankkonto eingezahlt.
"die Einzahlung, -en",Sie sollten die Einzahlung pünktlich machen.
einzeln,"1. Dieses Mineralwasser gibt es nur als Sechserpack, nicht einzeln. 2. Die Schüler mussten einzeln zum Schularzt kommen."
Einzel-,"z. B. Einzelkind, Einzelzimmer"
"die Einzelheit, -en",Du musst mir das in allen Einzelheiten erzählen.
einzig-,"1. Wir waren die einzigen Gäste. 2. Das war das einzige Mal, dass ich ihn gesehen habe."
"einziehen, zieht ein, zog ein, ist eingezogen",Die Wohnung ist fertig. Wir können nächste Woche einziehen.
das Eis,1. Im Winter gibt es Eis und Schnee. 2. Bitte eine Cola ohne Eis.
"das Eis (D, A) → CH: Glace/Glacé",Zum Nachtisch gibt es Schokoladeneis.
"die Eisenbahn, -en",Die Kinder wünschen sich eine elektrische Eisenbahn.
elegant,Ich finde dein Kleid sehr elegant.
elektrisch,"Wir kochen nicht mit Gas, sondern elektrisch."
Elektro-,"z.B. Elektrogeschäft, Elektroingenieur, Elektroherd"
elektronisch,"Wir sollten die Daten elektronisch bearbeiten, sonst dauert es zu lange."
die Eltern (Pl.),Ich wohne noch bei meinen Eltern.
"empfangen, empfängt, empfing, hat empfangen",1. Wir können mit unserem Fernseher über 30 Programme empfangen. 2. Die Gäste wurden sehr herzlich empfangen.
"der Empfang, ¨-e",1. Bitte den Empfang bestätigen! 2. Ich bin mit dem Fernseher nicht zufrieden. Der Empfang ist sehr schlecht. 3. Zur Firmeneröffnung bitten wir zu einem kleinen Empfang.
"der Empfänger, -",Es fehlt die genaue Adresse des Empfängers.
"empfehlen, empfiehlt, empfahl, hat empfohlen",Was können Sie mir denn empfehlen?
"die Empfehlung, -en",Ich rufe auf Empfehlung von Herrn Weber an.
"enden, endet, endete, hat geendet",1. Die Straße endet hier. 2. Das Arbeitsverhältnis endet im Mai.
"das Ende, -n",1. Ich wohne am Ende der Straße. 2. Die nächste Prüfung findet Ende August statt. 3. Rinaldo ist Ende fünfzig. 4. Am Dienstag gehen die Ferien zu Ende.
endgültig,1. Damit ist das Problem endgültig gelöst. 2. Der endgültige Termin steht noch nicht fest. 3. Das Ergebnis ist noch nicht endgültig.
endlich,1. Endlich haben wir eine schöne Wohnung gefunden. 2. Haben Sie sich nun endlich entschieden?
"die Energie, -n","1. Wir müssen Energie sparen. 2. Abends habe ich keine Energie mehr, um Sport zu machen."
eng,1. Die Jacke ist mir zu eng. 2. Wir arbeiten mit dieser Firma eng zusammen.
"der Enkel, die Enkelin, -nen",Alle meine Enkel gehen schon zur Schule.
"entdecken, entdeckt, entdeckte, hat entdeckt",Ich habe in deinem Brief noch ein paar Fehler entdeckt.
"entfernen, entfernt, entfernte, hat entfernt",1. Der Müll muss dringend entfernt werden. 2. Das Hotel liegt etwa 100 m vom Strand entfernt.
"die Entfernung, -en",Aus dieser Entfernung ist das nicht zu erkennen.
entgegenkommen,1. Auf dem Weg nach Hause ist mir mein Nachbar entgegengekommen. 2. Können Sie mir mit dem Preis entgegenkommen?
"enthalten, enthält, enthielt, hat enthalten",1. Diese Schokolade enthält nur sehr wenig Zucker. 2. Ist die Änderung im Preis enthalten?
entlang,Gehen Sie diese Straße entlang. Dann kommen Sie direkt zum Bahnhof.
"entlassen, entlässt, entließ, hat entlassen",1. Die Operation ist gut gelaufen. Wir können Sie nächste Woche aus dem Krankenhaus entlassen. 2. Die Firma hat viele Mitarbeiter entlassen.
"die Entlassung, -en",Seine Entlassung aus der Firma kam überraschend.
"entscheiden, entscheidet, entschied, hat entschieden","1. Das kann ich nicht allein entscheiden, da muss ich erst fragen. 2. Für welchen Anzug haben Sie sich entschieden?"
"die Entscheidung, -en",Diese wichtige Entscheidung möchte ich zuerst mit meinem Mann besprechen.
unentschieden,"1. Es steht unentschieden zwischen den beiden Mannschaften. 2. Ich bin noch immer unentschieden, was ich morgen tun soll."
"sich entschließen, entschließt sich, entschloss sich, hat sich entschlossen","Mein Nachbar hat sich nun doch entschlossen, sein Auto zu verkaufen."
entschlossen,"Ich bin fest entschlossen, diese Ausbildung fertigzumachen."
"entschuldigen, entschuldigt, entschuldigte, hat entschuldigt","1. Entschuldigen Sie bitte, dass ich Sie störe. Aber es gibt ein Problem. 2. Herr Meier lässt sich entschuldigen, er ist stark erkältet."
"die Entschuldigung, -en","Oh, Entschuldigung! – Macht nichts. Kein Problem."
"entsorgen, entsorgt, entsorgte, hat entsorgt",Wie kann ich meine alte Kaffeemaschine entsorgen?
entspannend,Der Urlaub war sehr entspannend.
"entstehen, entsteht, entstand, ist entstanden",1. Hier entsteht ein neues Einkaufszentrum. 2. Andere Kosten entstehen nicht.
"enttäuschen, enttäuscht, enttäuschte, hat enttäuscht",1. Leider hat mich sein Verhalten enttäuscht. 2. Wir waren von dem Konzert sehr enttäuscht. 3. Das Ergebnis war enttäuschend.
"die Enttäuschung, -en",Das Endspiel war eine große Enttäuschung.
entweder ... oder,"Nur einer kann gewinnen, entweder du oder ich."
"entwickeln, entwickelt, entwickelte, hat entwickelt",1. Unser Sohn entwickelt sich gut in der Schule. 2. Die Firma hat ein neues Produkt entwickelt.
"die Entwicklung, -en",Genug Schlaf ist wichtig für die Entwicklung Ihres Kindes.
"die Erde, -n",1. Die Pflanzen brauchen neue Erde. 2. Mein Sohn hat das Glas auf die Erde fallen lassen. 3. An der Konferenz nehmen Vertreter
"der Erdapfel, ¨- (A) → Kartoffel",Kann ich bitte noch Erdäpfel bekommen?
"das Erdgeschoss, -e",Unsere Wohnung befindet sich im Erdgeschoss.
"das Ereignis, -se",1. Alle Zeitungen haben über diese Ereignisse berichtet. 2. Das Konzert war ein großes Ereignis.
"sich ereignen, ereignet sich, ereignete sich, hat sich ereignet",Der Unfall ereignete sich am frühen Morgen.
"erfahren, erfährt, erfuhr, hat erfahren",Wann erfahren wir das Ergebnis der Prüfung?
"die Erfahrung, -en",1. Ich habe zehn Jahre Erfahrung in diesem Beruf. 2. Mit diesem Gerät haben wir gute Erfahrungen gemacht.
"erfinden, erfindet, erfand, hat erfunden",Das Rad wurde vor ca. 6000 Jahren erfunden.
"die Erfindung, -en",Die Erfindung des Buchdrucks war sehr wichtig für die Menschen.
"der Erfolg, -e",1. Der Film war ein großer Erfolg. 2. Ich wünsche Ihnen viel Erfolg bei der Prüfung.
erfolgreich,Mein Großvater war ein erfolgreicher Geschäftsmann.
erforderlich,"1. Hier ist die Liste der erforderlichen Zutaten für den Kuchen. 2. Es ist erforderlich, dass man den Pass persönlich abholt."
"erfordern, erfordert, erforderte, hat erfordert",Dieser Job erfordert viel Kraft.
"erfüllen, erfüllt, erfüllte, hat erfüllt",1. Sie müssen den Vertrag in allen Punkten erfüllen. 2. Wir erfüllen Ihnen jeden Wunsch.
"ergänzen, ergänzt, ergänzte, hat ergänzt",Ergänzen Sie bitte die fehlenden Angaben.
"das Ergebnis, -se",Ein so gutes Ergebnis hat uns alle überrascht.
"erhalten, erhält, erhielt, hat erhalten",Ihr Schreiben vom 3. Januar haben wir erhalten.
"erhöhen, erhöht, erhöhte, hat erhöht",1. Die Regierung wird sicher bald wieder die Steuern erhöhen. 2. Die Zahl der Unfälle hat sich stark
"die Erhöhung, -en",Wir streiken für eine Lohnerhöhung.
"sich erholen, erholt sich, erholte sich, hat sich erholt",1. Im Urlaub habe ich mich sehr gut erholt. 2. Er hat sich nach dem Unfall sehr schnell wieder erholt.
"die Erholung, -en",Ich habe zu viel gearbeitet. Jetzt brauche ich etwas Erholung.
"erinnern, erinnert, erinnerte, hat erinnert","1. Bitte, erinnern Sie mich noch einmal an den Termin 2. Ich erinnere mich noch genau an Francescos Vater."
"die Erinnerung, -en",An diese Zeit habe ich viele schöne Erinnerungen.
"sich erkälten, erkältet sich, erkältete sich, hat sich erkältet",Der Junge hat sich beim Baden erkältet.
erkältet,Ich bin stark erkältet.
"die Erkältung, -en",Du hast eine schlimme Erkältung!
"erkennen, erkennt, erkannte, hat erkannt","1. Ich habe Roberto gleich an seiner Stimme erkannt. 2. Auf dem Foto kann man kaum etwas erkennen. 3. Ich habe erkannt, dass es ein Fehler war, den Kurs nicht fertigzumachen."
"erklären, erklärt, erklärte, hat erklärt","1. Kannst du mir erklären, wie man diesen Apparat bedient? 2. Ich kann mir nicht erklären, wie der Brief verschwinden konnte."
"die Erklärung, -en",1. Hast du schon die Steuererklärung gemacht? 2. Die Erklärung der Lehrerin ist besser als die Erklärung im Buch.
"sich erkundigen, erkundigt sich, erkundigte sich, hat sich erkundigt","1. Hast du dich schon nach einem Zug erkundigt? 2. Ich möchte mich erkundigen, wie es Ihnen geht."
"erlauben, erlaubt, erlaubte, hat erlaubt","1. Ich erlaube meinen Kindern nicht, so lange fernzusehen. 2. Parken ist hier nicht erlaubt."
"die Erlaubnis, -se",Sie hätten ihn vorher um Erlaubnis bitten müssen.
"erleben, erlebt, erlebte, hat erlebt",In unserem Urlaub haben wir viel Schönes erlebt.
"das Erlebnis, -se",Die Reise war ein tolles Erlebnis.
"erledigen, erledigt, erledigte, hat erledigt",Diese zwei Pakete müssen zur Post. Könntest du das für mich erledigen?
"erleichtern, erleichtert, erleichterte, hat erleichtert","1. Ich bin erleichtert, dass alles so gut geklappt hat. 2. Das Internet erleichtert mir die Arbeit sehr."
"die Ermäßigung, -en",Es gibt eine Ermäßigung für Kinder und Senioren.
"ernähren, ernährt, ernährte, hat ernährt","1. Wie ernähre ich mich richtig? 2. Meine Eltern müssen beide arbeiten, um die Familie zu ernähren."
die Ernährung,Ich finde eine gesunde Ernährung wichtig.
ernst,Der starke Verkehr ist ein ernstes Problem.
ernsthaft,"Ich überlege ernsthaft, ob ich in eine andere Stadt ziehen soll."
"die Ernte, -n",Die Ernte ist dieses Jahr gut.
"eröffnen, eröffnet, eröffnete, hat eröffnet",1. Mein Nachbar hat letzten Monat ein Geschäft eröffnet. 2. Ich möchte ein Konto eröffnen.
"die Eröffnung, -en",Die Eröffnung der neuen Oper ist am 1. Juni.
"erreichen, erreicht, erreichte, hat erreicht","1. Wenn wir uns beeilen, erreichen wir noch den 8-Uhr-Zug. 2. Bis 17 Uhr können Sie mich im Büro erreichen. 3. Auf diese Art erreichen Sie bei mir gar nichts. 4. Dieser Zug erreicht eine Geschwindigkeit von 200 km/h."
erschöpft,Nach dem Sport bin ich immer sehr erschöpft.
"erschrecken, erschrickt, erschrak, ist erschrocken/",1. Du hast richtig krank ausgesehen. Ich war ganz erschrocken.
"jdn. erschrecken, erschreckt, erschreckte, hat erschreckt",1. Hast du mich aber erschreckt! 2. Entschuldigung. Ich wollte Sie nicht erschrecken.
"ersetzen, ersetzt, ersetzte, hat ersetzt",1. Wir ersetzen Ihnen die Kosten. 2. Peter ist krank. Jemand muss ihn ersetzen.
der Ersatz,Sie bekommen von unserer Firma einen Ersatz für das kaputte Gerät.
erst,"1. Sofia ist erst 20 Jahre alt. 2. Ich habe das erst gestern erfahren. 3. Sprich erst mit dem Arzt. 4. Erst hat mir die Arbeit gar nicht gefallen, aber jetzt habe ich mich daran gewöhnt."
erst-,1. Ich war zum ersten Mal allein im Urlaub. 2. Ich wohne im ersten Stock. 3. An erster Stelle kommt die Schule.
"erstellen, erstellt, erstellte, hat erstellt","Erstellen Sie bitte eine Liste mit allen Informationen, die Sie brauchen."
erwachsen,1. Die Kinder sind schon fast erwachsen. 2. Wir haben zwei erwachsene Töchter.
"der Erwachsene, -n","1. Erwachsene zahlen 5 Euro, für Kinder ist der Eintritt frei. 2. Dieser Film ist nur für Erwachsene."
"erwarten, erwartet, erwartete, hat erwartet","1. Ich erwarte einen Anruf aus Berlin. 2. Frau Müller erwartet ein Kind. 3. Wir hatten nichts anderes erwartet. 4. Ich kann es gar nicht erwarten, euch wieder zu sehen."
"erzählen, erzählt, erzählte, hat erzählt",1. Mein Mann hat mir schon viel von Ihnen erzählt. 2. Ich muss meinen Kindern abends immer eine Geschichte erzählen.
"die Erzählung, -en",Diese Erzählung ist sehr berühmt. Du musst sie lesen.
"erziehen, erzieht, erzog, hat erzogen",Kinder zu erziehen ist nicht leicht.
die Erziehung,Heute kümmern sich auch viele Väter um die Erziehung der Kinder.
es,"1. Mein Auto muss in die Werkstatt. Es ist kaputt. 2. Wissen Sie nicht, wo Herr Müller ist? Nein, ich weiß es nicht. 3. Es wurden bei der Diskussion viele Fragen gestellt. 4. Wer ist da? – Ich bin’s. 5. Mir geht es gut. 6. Ich finde es sehr nett von Ihnen, dass Sie mich abholen. 7. Es macht Spaß, zusammen ein Picknick zu machen."
"essen, isst, aß, hat gegessen",1. Haben Sie schon zu Mittag gegessen? 2. Ich esse gern Bananen. 3. Was gibt es heute zu essen?
"das Essen, -",1. Darf ich Sie zum Essen einladen? 2. Das Essen ist kalt geworden.
"der Essig, -e",Am Salat fehlt noch etwas Essig.
"die Etage, -n (D, CH) → Stock","Das Büro ist in der 3. Etage, Zimmer 305."
etwa,1. Von hier sind es etwa zwanzig Kilometer. 2. Von zu Hause brauche ich etwa 10 Minuten bis zur Arbeit. 3. Du bist doch nicht etwa krank?
etwas,1. Ich muss dir etwas erzählen. 2. Ich habe nur Tee. Etwas anderes kann ich Ihnen leider nicht anbieten. 3. Haben Sie etwas zum Schreiben? 4. Wollen wir mit dem Nachtisch noch etwas warten? 5. So etwas habe ich noch nie gehört. 6. Ich habe etwas Gutes für dich gekocht.
eventuell,Ich komme eventuell etwas später.
ewig,Ich warte schon ewig auf mein neues Auto!
"der Experte, -n",Ich verstehe ein bisschen was von Computern. Aber ich bin kein Experte.
"der Export, -e","1. Hier ist die Firma Schulz, Import und Export. 2. Sonja arbeitet in der Exportabteilung."
extra,1. Die Getränke kosten extra. 2. Warum sind Sie nicht gekommen? Ich habe extra auf Sie gewartet.
extrem,Die Prüfung war extrem schwer.
"die Fabrik, -en",Ich arbeite in einer Autofabrik.
"das Fach, ¨-er",1. Die Handtücher sind im obersten Fach links. 2. Welches Fach magst du in der Schule am liebsten?
"der Fachmann, Fachleute die Fachfrau, -en",Meine Schwester ist Computerfachfrau.
die Fachleute (Pl.),Die suchen Fachleute für dieses Computerprogramm.
"die Fähigkeit, -en","1. In seiner Position braucht man die Fähigkeit, andere zu überzeugen. 2. Ich glaube, sie hat die Fähigkeit dazu."
"fahren, fährt, fuhr, ist/hat gefahren",1. Wir sind mit dem Zug gefahren. 2. Fahr nicht so schnell. 3. Frau Koch fährt einen Mercedes. 4. Soll ich dich nach Hause fahren? 5. Er hat das Auto in die Garage gefahren.
"die Fähre, -n",Wir nehmen die Fähre über den Bodensee.
"die Fahrbahn, -en",Fahren Sie bitte vorsichtig. Es sind Kühe auf der Fahrbahn.
"der Fahrer, -",1. Die Fahrerin des Wagens wurde nicht verletzt. 2. Leonid ist von Beruf Busfahrer. 3. Während der Fahrt bitte nicht mit dem Fahrer sprechen!
"die Fahrkarte, -n → CH: Billet",Fahrkarten bekommt man am Automaten.
"der Fahrplan, ¨-e",1. Der Fahrplan hat sich geändert. 2. Haben Sie schon den neuen Sommerfahrplan?
"das Fahrrad, ¨-er → D, A: Rad; CH: Velo",Sie fährt jeden Morgen mit dem Fahrrad zur Arbeit.
"das Fahrzeug, -e",Wem gehört das Fahrzeug?
fair,"Ich finde, unsere Mannschaft hat sehr fair gespielt."
"der Faktor, -en",Die Creme hat einen hohen Sonnenschutzfaktor.
"der Fall, ¨-e","1. Was würden Sie in diesem Fall tun? 2. Rufen Sie auf jeden Fall vorher noch einmal an. 3. Für den Fall, dass meine Mutter aus dem Krankenhaus kommt, bleibe ich zu Hause."
"fallen, fällt, fiel, ist gefallen",1. Das Glas ist auf den Boden gefallen. 2. In den Bergen ist schon Schnee gefallen. 3. Die Temperatur ist ganz plötzlich unter null gefallen.
fällig,Die Rechnung ist Énde des Monats fällig.
falls,"Falls es regnet, machen wir kein Picknick."
falsch,"1. Tut mir leid, ich habe die falsche Nummer gewählt. 2. Meine Uhr geht falsch. 3. Was Sie da sagen, ist falsch."
"die Familie, -n",Ich habe eine große Familie.
"der Familienstand (D, A) → Personenstand;",Bei „Familienstand“ musst du „ledig“ ankreuzen. CH: Zivilstand
"fangen, fängt, fing, hat gefangen",1. Das Kind hat den Ball gefangen. 2. Unsere Katze hat eine Maus gefangen.
"die Fantasie, -n",Mein Sohn malt sehr gut. Er hat viel Fantasie.
fantastisch,Die Aussicht ist fantastisch!
"die Farbe, -n",1. Welche Farbe magst du am liebsten? 2. Diese Farbe trocknet schnell.
farbig,"Ich brauche kein weißes, sondern farbiges Papier."
"das Faschierte (A) → D, CH: Hackfleisch",Geben Sie mir bitte 500 g Faschiertes.
"der Fasching, - (D, A) → D: Karneval; CH: Fasnacht",Dort hängt mein Kostüm für den Faschings(um)zug.
"die Fasnacht (CH) → D, A: Fasching; D: Karneval",Dort hängt mein Kostüm für den Fasnachtsumzug.
"fassen, fasst, fasste, hat gefasst","1. Sie haben den Dieb gefasst. 2. Ich habe den Entschluss gefasst, nach Wien zu ziehen."
fast,1. Das Konzent ist fast zu Ende. 2. Ich habe fast alles verstanden.
faul,1. Mein Sohn war am Anfang in der Schule sehr faul. Heute lernt er sehr fleißig. 2. Den Apfel kannst du nicht mehr essen. Er ist faul.
"faulenzen, faulenzt, faulenzte, hat gefaulenzt",Am Wochenende können wir faulenzen.
"der Fauteuil, -s (A, CH) → D, CH: Sessel",Ich hätte gern einen bequemen Fauteuil.
"fehlen, fehlt, fehlte, hat gefehlt","1 Auf dem Brief fehlt der Absender. 2. Hast du Kleingeld? Mir fehlt ein Euro. 3. In der Kasse fehlen 20 Euro. 4. Antonio war nicht in der Schule, er fehlt schon seit drei Tagen. 5. Was fehlt Ihnen? Haben Sie Schmerzen?"
"der Fehler, -","1. Ich glaube, da haben Sie einen Fehler gemacht. 2. Die Schülerin hat den Fehler sofort gefunden."
"feiern, feiert, feierte, hat gefeiert",Wir haben gestern Karls Geburtstag gefeiert.
"die Feier, -n",Es war eine schöne Feier.
der Feierabend,Einen schönen Feierabend.
"der Feiertag, -e",1. Am Montag ist Feiertag. 2. Schöne Feiertage.
"das Feld, -er",Auf diesem Feld wächst Gemüse.
"das Fenster, -",Darf ich einen Moment das Fenster aufmachen?
"die Ferien (Pl.) (CH) → D, A: Urlaub Ferien-",Ich habe noch drei Tage Ferien. Ich suche eine günstige Ferienwohnung.
"die Fernbedienung, -en",Hast du die Fernbedienung gesehen?
"fernsehen, sieht fern, sah fern, hat ferngesehen",Meine Kinder dürfen abends nur eine Stunde fernsehen.
das Fernsehen,Was gibt es heute Abend im Fernsehen?
"der Fernseher, -",Der Fernseher ist schon wieder kaputt.
fertig,"1. Das Essen ist gleich fertig. 2. Wenn ich mit der Arbeit fertig bin, gehe ich nach Hause. 3. Bist du fertig? 4. Das war ein schlimmer Tag. Ich bin total fertig."
fest,"1. Mein Kollege glaubt fest daran, dass er die neue Stelle bekommt. 2. Als wir nach Hause kamen, haben die Kinder schon fest geschlafen. 3. Für die nächste Familienfeier gibt es noch keinen festen Termin."
"das Fest, -e","1. Wenn ich 18 werde, feiern wir ein großes Fest. 2. Frohes Fest!"
"die Festplatte, -n",Mein Computer hat eine große Festplatte.
"festhalten, hält fest, hielt fest, hat festgehalten",1. Halt dich gut fest. 2. Halt die Flasche gut fest.
"festlegen, legt fest, legte fest, hat festgelegt","1. Ich weiß noch nicht, ob ich das mache. Ich möchte mich noch nicht festlegen. 2. Habt ihr den Hochzeitstermin schon festgelegt?"
"festnehmen, nimmt fest, nahm fest, hat festgenommen",Die Polizei hat einen Mann festgenommen.
"festsetzen, setzt fest, setzte fest, hat festgesetzt",Die Schule hat den Termin für die Prüfung festgesetzt.
"feststehen, steht fest, stand fest, ist festgestanden",Der Termin steht seit Langem fest.
"feststellen, stellt fest, stellte fest, hat festgestellt","1. Er hat festgestellt, dass der Absender des Briefes falsch war. 2. Der Arzt hat mich untersucht, konnte aber nichts feststellen."
fett,1. Die Wurst ist mir zu fett. 2. Das ist aber eine fette Katze!
das Fett,Man soll nicht so viel Fett essen.
feucht,1. Die Wäsche ist noch feucht. 2. Es ist heute feucht draußen.
das Feuer,1. Der Schaden durch das Feuer war sehr groß. 2. Haben Sie Feuer?
"das Feuerzeug, -e",Ist das Feuerzeug neu?
"die Feuerwehr, -en",Schnell! Rufen Sie die Feuerwehr! Die Nummer ist: 112.
das Fieber,Plötzlich habe ich hohes Fieber bekommen.
